title,year,Ratings,Directors,cast,genre
A Nightmare on Elm Street 3: Dream Warriors,1987,72,Chuck Russell,"Heather Langenkamp , Patricia Arquette , Craig Wasson , Larry Fishburne",Horror
Phenomena,1985,75,Dario Argento,"Jennifer Connelly , Donald Pleasence , Dalila Di Lazzaro , Fausta Avelli",Horror
Bram Stoker's Dracula,1992,77,Francis Ford Coppola,"Gary Oldman , Winona Ryder , Anthony Hopkins , Keanu Reeves",Horror
Hellraiser,1987,70,Clive Barker,"Andrew Robinson , Clare Higgins , Ashley Laurence , Sean Chapman",Horror
It's Alive!,1974,70,Larry Cohen,"John P. Ryan , Sharon Farrell , Andrew Duggan , Guy Stockwell",Horror
Jacob's Ladder,1990,73,Adrian Lyne,"Tim Robbins , Elizabeth Peña , Danny Aiello , Matt Craven",Horror
Open Water,2003,71,Chris Kentis,"Blanchard Ryan , Daniel Travis , Saul Stein , Estelle Lau",Horror
The Mist,2007,72,Frank Darabont,"Thomas Jane , Marcia Gay Harden , Laurie Holden , Andre Braugher",Horror
The Ring,2002,71,Gore Verbinski,"Naomi Watts , Martin Henderson , David Dorfman , Brian Cox",Horror
Phantasm,1979,74,Don Coscarelli,"Michael Baldwin , Bill Thornbury , Reggie Bannister , Kathy Lester",Horror
Frailty,2002,75,Bill Paxton,"Bill Paxton , Matthew McConaughey , Powers Boothe , Matt O'Leary",Horror
Dog Soldiers,2002,80,Neil Marshall,"Sean Pertwee , Kevin McKidd , Emma Cleasby , Liam Cunningham",Horror
Basket Case,1982,77,Frank Henenlotter,"Kevin Van Hentenryck , Terri Susan Smith , Beverly Bonner",Horror
Eden Lake,2008,80,James Watkins,"Finn Atkins , Michael Fassbender , James Gandhi , Thomas Gill",Horror
Candyman,1992,79,Bernard Rose,"Virginia Madsen , Tony Todd , Xander Berkeley , Kasi Lemmons",Horror
Oculus,2013,75,Mike Flanagan,"Karen Gillan , Brenton Thwaites , Katee Sackhoff , Rory Cochrane",Horror
Land of the Dead,2005,74,George Romero,"Simon Baker , John Alberto Leguizamo , Asia Argento , Robert Joy",Horror
Night of the Comet,1984,79,Thom Eberhardt,"Catherine Mary Stewart , Kelli Maroney , Robert Beltran , Geoffrey Lewis",Horror
Wes Craven's New Nightmare,1994,79,Wes Craven,"Robert Englund , Heather Langenkamp , Miko Hughes , David Newsom",Horror
Trick 'r Treat,2007,81,Michael Dougherty,"Anna Paquin , Brian Cox , Dylan Baker , Leslie Bibb",Horror
The Lost Boys,1987,76,Joel Schumacher,"Jason Patric , Corey Haim , Dianne Wiest , Barnard Hughes",Horror
The Lodge,2019,74,Veronika Franz,"Riley Keough , Jaeden Lieberher , Lia McHugh , Richard Armitage",Horror
Scream,1996,80,Wes Craven,"Neve Campbell , David Arquette , Courteney Cox , Matthew Lillard",Horror
Southbound,2015,81,Roxanne Benjamin,"Chad Villella , Matt Bettinelli-Olpin , Kristina Pesic , Fabianne Therese",Horror
Lights Out,2016,75,David F. Sandberg,"Teresa Palmer , Gabriel Bateman , Alexander DiPersia , Billy Burke",Horror
The Platform,2019,79,Galder Gaztelu-Urrutia,"Emilio Buale , Zorion Eguileor , Alexandra Masangkay , Ivan Massagué",Horror
The Brood,1979,82,David Cronenberg,"Oliver Reed , Samantha Eggar , Art Hindle , Henry Beckman",Horror
The Cat o' Nine Tails,1971,81,Dario Argento,"Karl Malden , James Franciscus , Catherine Spaak , Cinzia De Carolis",Horror
Mute Witness,1995,83,Anthony Waller,"Mary Sudina , Fay Ripley , Evan Richards , Oleg Yankovsky",Horror
You're Next,2011,79,Adam Wingard,"Sharni Vinson , Nicholas Tucci , Wendy Glenn , A.J. Bowen",Horror
Videodrome,1983,79,David Cronenberg,"James Woods , Deborah Harry , Sonja Smits , Peter Dvorsky",Horror
Thirst,2009,81,Park Chan-wook,"Song Kang-ho , Kim Ok-bin , Shin Ha-kyun , Kim Hae-sook",Horror
Audition,1999,83,Takashi Miike,"Ryo Ishibashi , Eihi Shiina , Jun Kunimura , Miyuki Matsuda",Horror
Three...Extremes (Saam gaang yi),2005,83,Takashi Miike,"Miriam Yeung , Pauline Lau , Zabit Memedov , Miki Yeung",Horror
Dead Ringers,1988,84,David Cronenberg,"Jeremy Irons , Geneviève Bujold , Heidi von Palleske , Barbara Gordon",Horror
Scream 2,1997,82,Wes Craven,"David Arquette , Neve Campbell , Courteney Cox , Sarah Michelle Gellar",Horror
1408,2007,79,Mikael Hafstrom,"John Cusack , Samuel L. Jackson , Mary McCormack , Jasmine Jessica Anthony",Horror
A Tale of Two Sisters,2003,85,Kim Jee-woon,"Yum Jung-ah , Kim Kap-soo , Moon Geun-young , Im Soo-jung",Horror
Ouija: Origin of Evil,2016,83,Mike Flanagan,"Elizabeth Reaser , Annalise Basso , Lulu Wilson , Henry Thomas",Horror
Pontypool,2008,84,Bruce McDonald,"Stephen McHattie , Lisa Houle , Georgina Reilly , Hrant Alianak",Horror
The Shallows,2016,78,Jaume Collet-Serra,"Blake Lively , Óscar Jaenada , Brett Cullen , Sedona Legge",Horror
Shadow of the Vampire,2000,81,E. Elias Merhige,"John Malkovich , Willem Dafoe , Cary Elwes , John Aden Gillett",Horror
The House of the Devil,2009,85,Ti West,"Jocelin Donahue , Tom Noonan , Mary Woronov , Greta Gerwig",Horror
Tucker & Dale vs Evil,2010,85,Eli Craig,"Tyler Labine , Alan Tudyk , Katrina Bowden , Jesse Moss",Horror
Dracula: Pages From a Virgin's Diary,2002,87,Guy Maddin,"Zhang Wei-Qiang , David Moroni , Tara Birtwhistle , Stephane Leonard",Horror
The Others,2001,84,Alejandro Amenábar,"Nicole Kidman , Christopher Eccleston , Alakina Mann , James Bentley",Horror
Creature From the Black Lagoon,1954,79,Jack Arnold,"Richard Carlson , Julia Adams , Richard Denning , Antonio Moreno",Horror
Tremors,1990,88,Ron Underwood,"Kevin Bacon , Fred Ward , Finn Carter , Michael Gross",Horror
Creep,2014,90,Patrick Brice,"Mark Duplass , Patrick Brice",Horror
Carnival of Souls,1962,87,Herk Harvey,"Candace Hilligoss , Frances Feist , Sidney Berger , Stan Levitt",Horror
Rec,2007,90,Jaume Balagueró,"Manuela Velasco , Ferran Terraza , Jorge-Yamam Serrano , Carlos Lasarte",Horror
Paranormal Activity,2007,83,Oren Peli,"Katie Featherston , Micah Sloat , Amber Armstrong , Mark Fredrichs",Horror
The Conjuring 2,2016,80,James Wan,"Patrick Wilson , Vera Farmiga , Madison Wolfe , Frances O'Connor",Horror
Ginger Snaps,2000,90,John Fawcett,"Emily Perkins , Katharine Isabelle , Kris Lemche , Mimi Rogers",Horror
Goodnight Mommy,2014,85,Veronika Franz,"Susanne Wuest , Elias Schwarz , Lukas Schwarz , Hans Escher",Horror
Julia's Eyes,2010,90,Guillem Morales,"Belén Rueda , Lluís Homar , Pablo Derqui , Francesc Orella",Horror
Sisters,1973,85,Brian De Palma,"Margot Kidder , Jennifer Salt , Charles Durning , William Finley",Horror
Cargo,2017,87,Ben Howling,"Martin Freeman , Anthony Hayes , Susie Porter , Simone Landers",Horror
Slither,2006,87,James Gunn,"Nathan Fillion , Elizabeth Banks , Michael Rooker , Gregg Henry",Horror
House on Haunted Hill,1959,78,William Castle,"Vincent Price , Carol Ohmart , Richard Long , Alan Marshal",Horror
Poltergeist,1982,88,Tobe Hooper,"Craig T. Nelson , JoBeth Williams , Beatrice Straight , Dominique Dunne",Horror
The Girl With All the Gifts,2016,85,Colm McCarthy,"Gemma Arterton , Glenn Close , Paddy Considine , Anamaria Marinca",Horror
The Thing,1982,84,John Carpenter,"Kurt Russell , A. Wilford Brimley , T.K. Carter , Richard Dysart",Horror
Dead Alive,1992,89,Peter Jackson,"Timothy Balme , Diana Peñalver , Elizabeth Moody , Ian Watkin",Horror
Freaks,2018,88,Adam Stein,"Emile Hirsch , Bruce Dern , Lexy Kolker , Amanda Crew",Horror
The Tenant,1976,82,Roman Polanski,"Roman Polanski , Isabelle Adjani , Melvyn Douglas , Shelley Winters",Horror
The Descent,2005,86,Neil Marshall,"Shauna Macdonald , Natalie Mendoza , Alex Reid , Saskia Mulder",Horror
Better Watch Out,2016,89,Chris Peckover,"Levi Miller , Olivia DeJonge , Ed Oxenbould , Dacre Montgomery",Horror
An American Werewolf in London,1981,89,John Landis,"David Naughton , Jenny Agutter , Griffin Dunne , John Woodvine",Horror
Doctor Sleep,2019,78,Mike Flanagan,"Ewan McGregor , Rebecca Ferguson , Kyliegh Curran , Cliff Curtis",Horror
The Omen,1976,84,Richard Donner,"Gregory Peck , Lee Remick , David Warner , Billie Whitelaw",Horror
Creepy,2016,90,Kiyoshi Kurosawa,"Hidetoshi Nishijima , Yuko Takeuchi , Masahiro Higashide , Teruyuki Kagawa",Horror
Come to Daddy,2019,87,Ant Timpson,"Elijah Wood , Stephen McHattie , Martin Donovan , Michael Smiley",Horror
Crawl,2019,84,Alexandre Aja,"Kaya Scodelario , Barry Pepper , Morfydd Clark , Ross Anderson",Horror
The Exorcist,1973,84,William Friedkin,"Ellen Burstyn , Linda Blair , Max von Sydow , Lee J. Cobb",Horror
The Invitation,2015,89,Karyn Kusama,"Logan Marshall-Green , Tammy Blanchard , Michiel Huisman , Emayatzy Corinealdi",Horror
Hounds of Love,2016,88,Ben Young,"Emma Booth , Ashleigh Cummings , Stephen Curry , Susie Porter",Horror
1922,2017,91,Zak Hilditch,"Thomas Jane , Neal McDonough , Molly Parker , Brian d'Arcy James",Horror
The Abominable Dr. Phibes,1971,88,Robert Fuest,"Vincent Price , Joseph Cotten , Terry-Thomas , Hugh Griffith",Horror
Martin,1978,90,George A. Romero,"John Amplas , Lincoln Maazel , Christine Forrest , Elyane Nadeau",Horror
House,1977,90,Nobuhiko Ôbayashi,"Kimiko Ikegami , Ai Matsubara , Miki Jinbo , Eriko Tanaka",Horror
Henry: Portrait of a Serial Killer,1986,89,John McNaughton,"Michael Rooker , Tracy Arnold , Tom Towles , Anne Bartoletti",Horror
